"";"X";"Sepal.Length";"Sepal.Width";"Petal.Length";"Petal.Width";"Species"
"1";1;4,91697046920996;3,5;1,4;0,2;"setosa"
"2";2;4,71697046920996;3;1,4;0,2;"setosa"
"3";3;4,51697046920996;3,2;1,3;0,2;"setosa"
"4";4;4,41697046920996;3,1;1,5;0,2;"setosa"
"5";5;4,81697046920996;3,6;1,4;0,2;"setosa"
"6";6;5,21697046920996;3,9;1,7;0,4;"setosa"
"7";7;4,41697046920996;3,4;1,4;0,3;"setosa"
"8";8;4,81697046920996;3,4;1,5;0,2;"setosa"
"9";9;4,21697046920996;2,9;1,4;0,2;"setosa"
"10";10;4,71697046920996;3,1;1,5;0,1;"setosa"
"11";11;5,21697046920996;3,7;1,5;0,2;"setosa"
"12";12;4,61697046920996;3,4;1,6;0,2;"setosa"
"13";13;4,61697046920996;3;1,4;0,1;"setosa"
"14";14;4,11697046920996;3;1,1;0,1;"setosa"
"15";15;5,61697046920996;4;1,2;0,2;"setosa"
"16";16;5,51697046920996;4,4;1,5;0,4;"setosa"
"17";17;5,21697046920996;3,9;1,3;0,4;"setosa"
"18";18;4,91697046920996;3,5;1,4;0,3;"setosa"
"19";19;5,51697046920996;3,8;1,7;0,3;"setosa"
"20";20;4,91697046920996;3,8;1,5;0,3;"setosa"
"21";21;5,21697046920996;3,4;1,7;0,2;"setosa"
"22";22;4,91697046920996;3,7;1,5;0,4;"setosa"
"23";23;4,41697046920996;3,6;1;0,2;"setosa"
"24";24;4,91697046920996;3,3;1,7;0,5;"setosa"
"25";25;4,61697046920996;3,4;1,9;0,2;"setosa"
"26";26;4,81697046920996;3;1,6;0,2;"setosa"
"27";27;4,81697046920996;3,4;1,6;0,4;"setosa"
"28";28;5,01697046920996;3,5;1,5;0,2;"setosa"
"29";29;5,01697046920996;3,4;1,4;0,2;"setosa"
"30";30;4,51697046920996;3,2;1,6;0,2;"setosa"
"31";31;4,61697046920996;3,1;1,6;0,2;"setosa"
"32";32;5,21697046920996;3,4;1,5;0,4;"setosa"
"33";33;5,01697046920996;4,1;1,5;0,1;"setosa"
"34";34;5,31697046920996;4,2;1,4;0,2;"setosa"
"35";35;4,71697046920996;3,1;1,5;0,2;"setosa"
"36";36;4,81697046920996;3,2;1,2;0,2;"setosa"
"37";37;5,31697046920996;3,5;1,3;0,2;"setosa"
"38";38;4,71697046920996;3,6;1,4;0,1;"setosa"
"39";39;4,21697046920996;3;1,3;0,2;"setosa"
"40";40;4,91697046920996;3,4;1,5;0,2;"setosa"
"41";41;4,81697046920996;3,5;1,3;0,3;"setosa"
"42";42;4,31697046920996;2,3;1,3;0,3;"setosa"
"43";43;4,21697046920996;3,2;1,3;0,2;"setosa"
"44";44;4,81697046920996;3,5;1,6;0,6;"setosa"
"45";45;4,91697046920996;3,8;1,9;0,4;"setosa"
"46";46;4,61697046920996;3;1,4;0,3;"setosa"
"47";47;4,91697046920996;3,8;1,6;0,2;"setosa"
"48";48;4,41697046920996;3,2;1,4;0,2;"setosa"
"49";49;5,11697046920996;3,7;1,5;0,2;"setosa"
"50";50;4,81697046920996;3,3;1,4;0,2;"setosa"
"51";51;6,81697046920996;3,2;4,7;1,4;"versicolor"
"52";52;6,21697046920996;3,2;4,5;1,5;"versicolor"
"53";53;6,71697046920996;3,1;4,9;1,5;"versicolor"
"54";54;5,31697046920996;2,3;4;1,3;"versicolor"
"55";55;6,31697046920996;2,8;4,6;1,5;"versicolor"
"56";56;5,51697046920996;2,8;4,5;1,3;"versicolor"
"57";57;6,11697046920996;3,3;4,7;1,6;"versicolor"
"58";58;4,71697046920996;2,4;3,3;1;"versicolor"
"59";59;6,41697046920996;2,9;4,6;1,3;"versicolor"
"60";60;5,01697046920996;2,7;3,9;1,4;"versicolor"
"61";61;4,81697046920996;2;3,5;1;"versicolor"
"62";62;5,71697046920996;3;4,2;1,5;"versicolor"
"63";63;5,81697046920996;2,2;4;1;"versicolor"
"64";64;5,91697046920996;2,9;4,7;1,4;"versicolor"
"65";65;5,41697046920996;2,9;3,6;1,3;"versicolor"
"66";66;6,51697046920996;3,1;4,4;1,4;"versicolor"
"67";67;5,41697046920996;3;4,5;1,5;"versicolor"
"68";68;5,61697046920996;2,7;4,1;1;"versicolor"
"69";69;6,01697046920996;2,2;4,5;1,5;"versicolor"
"70";70;5,41697046920996;2,5;3,9;1,1;"versicolor"
"71";71;5,71697046920996;3,2;4,8;1,8;"versicolor"
"72";72;5,91697046920996;2,8;4;1,3;"versicolor"
"73";73;6,11697046920996;2,5;4,9;1,5;"versicolor"
"74";74;5,91697046920996;2,8;4,7;1,2;"versicolor"
"75";75;6,21697046920996;2,9;4,3;1,3;"versicolor"
"76";76;6,41697046920996;3;4,4;1,4;"versicolor"
"77";77;6,61697046920996;2,8;4,8;1,4;"versicolor"
"78";78;6,51697046920996;3;5;1,7;"versicolor"
"79";79;5,81697046920996;2,9;4,5;1,5;"versicolor"
"80";80;5,51697046920996;2,6;3,5;1;"versicolor"
"81";81;5,31697046920996;2,4;3,8;1,1;"versicolor"
"82";82;5,31697046920996;2,4;3,7;1;"versicolor"
"83";83;5,61697046920996;2,7;3,9;1,2;"versicolor"
"84";84;5,81697046920996;2,7;5,1;1,6;"versicolor"
"85";85;5,21697046920996;3;4,5;1,5;"versicolor"
"86";86;5,81697046920996;3,4;4,5;1,6;"versicolor"
"87";87;6,51697046920996;3,1;4,7;1,5;"versicolor"
"88";88;6,11697046920996;2,3;4,4;1,3;"versicolor"
"89";89;5,41697046920996;3;4,1;1,3;"versicolor"
"90";90;5,31697046920996;2,5;4;1,3;"versicolor"
"91";91;5,31697046920996;2,6;4,4;1,2;"versicolor"
"92";92;5,91697046920996;3;4,6;1,4;"versicolor"
"93";93;5,61697046920996;2,6;4;1,2;"versicolor"
"94";94;4,81697046920996;2,3;3,3;1;"versicolor"
"95";95;5,41697046920996;2,7;4,2;1,3;"versicolor"
"96";96;5,51697046920996;3;4,2;1,2;"versicolor"
"97";97;5,51697046920996;2,9;4,2;1,3;"versicolor"
"98";98;6,01697046920996;2,9;4,3;1,3;"versicolor"
"99";99;4,91697046920996;2,5;3;1,1;"versicolor"
"100";100;5,51697046920996;2,8;4,1;1,3;"versicolor"
"101";101;6,11697046920996;3,3;6;2,5;"virginica"
"102";102;5,61697046920996;2,7;5,1;1,9;"virginica"
"103";103;6,91697046920996;3;5,9;2,1;"virginica"
"104";104;6,11697046920996;2,9;5,6;1,8;"virginica"
"105";105;6,31697046920996;3;5,8;2,2;"virginica"
"106";106;7,41697046920996;3;6,6;2,1;"virginica"
"107";107;4,71697046920996;2,5;4,5;1,7;"virginica"
"108";108;7,11697046920996;2,9;6,3;1,8;"virginica"
"109";109;6,51697046920996;2,5;5,8;1,8;"virginica"
"110";110;7,01697046920996;3,6;6,1;2,5;"virginica"
"111";111;6,31697046920996;3,2;5,1;2;"virginica"
"112";112;6,21697046920996;2,7;5,3;1,9;"virginica"
"113";113;6,61697046920996;3;5,5;2,1;"virginica"
"114";114;5,51697046920996;2,5;5;2;"virginica"
"115";115;5,61697046920996;2,8;5,1;2,4;"virginica"
"116";116;6,21697046920996;3,2;5,3;2,3;"virginica"
"117";117;6,31697046920996;3;5,5;1,8;"virginica"
"118";118;7,51697046920996;3,8;6,7;2,2;"virginica"
"119";119;7,51697046920996;2,6;6,9;2,3;"virginica"
"120";120;5,81697046920996;2,2;5;1,5;"virginica"
"121";121;6,71697046920996;3,2;5,7;2,3;"virginica"
"122";122;5,41697046920996;2,8;4,9;2;"virginica"
"123";123;7,51697046920996;2,8;6,7;2;"virginica"
"124";124;6,11697046920996;2,7;4,9;1,8;"virginica"
"125";125;6,51697046920996;3,3;5,7;2,1;"virginica"
"126";126;7,01697046920996;3,2;6;1,8;"virginica"
"127";127;6,01697046920996;2,8;4,8;1,8;"virginica"
"128";128;5,91697046920996;3;4,9;1,8;"virginica"
"129";129;6,21697046920996;2,8;5,6;2,1;"virginica"
"130";130;7,01697046920996;3;5,8;1,6;"virginica"
"131";131;7,21697046920996;2,8;6,1;1,9;"virginica"
"132";132;7,71697046920996;3,8;6,4;2;"virginica"
"133";133;6,21697046920996;2,8;5,6;2,2;"virginica"
"134";134;6,11697046920996;2,8;5,1;1,5;"virginica"
"135";135;5,91697046920996;2,6;5,6;1,4;"virginica"
"136";136;7,51697046920996;3;6,1;2,3;"virginica"
"137";137;6,11697046920996;3,4;5,6;2,4;"virginica"
"138";138;6,21697046920996;3,1;5,5;1,8;"virginica"
"139";139;5,81697046920996;3;4,8;1,8;"virginica"
"140";140;6,71697046920996;3,1;5,4;2,1;"virginica"
"141";141;6,51697046920996;3,1;5,6;2,4;"virginica"
"142";142;6,71697046920996;3,1;5,1;2,3;"virginica"
"143";143;5,61697046920996;2,7;5,1;1,9;"virginica"
"144";144;6,61697046920996;3,2;5,9;2,3;"virginica"
"145";145;6,51697046920996;3,3;5,7;2,5;"virginica"
"146";146;6,51697046920996;3;5,2;2,3;"virginica"
"147";147;6,11697046920996;2,5;5;1,9;"virginica"
"148";148;6,31697046920996;3;5,2;2;"virginica"
"149";149;6,01697046920996;3,4;5,4;2,3;"virginica"
"150";150;5,71697046920996;3;5,1;1,8;"virginica"
